latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,schoepfer,entstehungsjahr,patenschaft,laufzeiten
54.073117254514067,12.089363867072981,47a892da-1a7e-11e5-8aba-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Gartenstadt/Stadtweide,0015,Satower Str.,08180,,,,Schomburg’scher Brunnen I,Wilhelm Schomburg,1915,,30 Apr-11 Okt: 10:00-19:00
54.09866529229415,12.073408204480661,39e76afe-1a7e-11e5-8a4b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Reutershagen,0013,Walter-Stoecker-Str.,09510,1,c,18069,Kugelbrunnen,,1978,,30 Apr-04 Okt: 15:00-19:00
54.177919526360398,12.08671710230027,4475851e-1a7e-11e5-8aa0-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Seebad Warnemünde,0001,Alexandrinenstr.,08910,49,,18119,Warnminner Ümgang,Wolfgang Friedrich,2004,Warnowquerung GmbH & Co. KG,18 Apr-11 Okt: 10:00-20:00
54.090797190222403,12.134219577627032,4162d2d2-1a7e-11e5-8a89-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Schnickmannstr.,08320,2,,18055,"Quelle, Wasser und Ufer",Wolfgang Friedrich,1988,Wassertechnik und Bau GmbH & Co. KG,18 Apr-11 Okt: 10:00-20:00
54.090152397602878,12.135060271998439,34a48e96-1a7e-11e5-8a20-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Lange Str.,06450,9,a,18055,Menschen am Wasser,Jo Jastram,1962,WIRO GmbH,18 Apr-11 Okt: 10:00-20:00
54.150715002747312,12.063680012118118,3a8ac604-1a7e-11e5-8a50-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Lichtenhagen,0008,Putbuser Str.,02140,6,,18109,Leben im Wasser,Anneliese Zintler,1978,,16 Mai-04 Okt: 10:00-20:00
54.097777156322785,12.089408058634392,47af8248-1a7e-11e5-8abd-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Reutershagen,0013,,,,,,Fontäne im Schwanenteich,,1983,,30 Apr-04 Okt: 13:00-20:00
54.08880143794844,12.140084136655716,40113450-1a7e-11e5-8a7e-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Neuer Markt,07250,15,,18055,Möwenbrunnen,Waldemar Otto,2001,Warnowquerung GmbH & Co.KG,18 Apr-11 Okt: 10:00-20:00
54.071891740410969,12.091266570835494,47afe9fe-1a7e-11e5-8abe-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Gartenstadt/Stadtweide,0015,,,,,,Schomburg’scher Brunnen II,Wilhelm Schomburg,1915,,30 Apr-11 Okt: 10:00-19:00
54.070955245606065,12.089545593594524,47b050d8-1a7e-11e5-8abf-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Gartenstadt/Stadtweide,0015,,,,,,Wasserspeier im Neuen Friedhof,,2004,,30 Apr-11 Okt: 10:00-19:00
54.086238375501274,12.137954326474935,41efead2-1a7e-11e5-8a8d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Stadtmitte,0019,Wallstr.,09470,1,a,18055,Verbotene Liebe,Ernst Wossidlo,1938,,18 Apr-11 Okt: 10:00-20:00
