latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,betreiber,nur_ausstieg,nur_einstieg,nur_ersatzverkehr,plattform,richtungsinformation,verkehrsmittel,verkehrsmittelklasse,linien,automat,tarifzone,fahrplan
53.763355154288575,12.213389170569608,d7867d26-13ef-11e5-a73a-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mühl Rosin,130725255073,Mühl Rosin,,Waldsiedlung,303,37,,,Waldsiedlung,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,252,,14,http://www.rebus.de/index.php?p=haltestellen2.php&fo=M%C3%BChl+Rosin&fa=&fh=3072
53.763308682677298,12.502019685798448,c8f4bd90-13ef-11e5-a2ab-0050569b7e95,Landkreis Rostock,13072,Amt Mecklenburgische Schweiz,130725258,Groß Wokern,130725258040,Groß Wokern,,Neu Wokern,114,18,,,Neu Wokern,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"233, 240, 244",,16,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Neu+Wokern&fa=&fh=4143
53.763195855161456,12.069046902810031,c9a4d04a-13ef-11e5-a2f1-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Gülzow-Prüzen,130725255042,Karcheez,,Hägerfelder Str.,803,2,,,Karcheez,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"270, 272, 273",,14,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Karcheez&fa=&fh=3016
53.763005454586057,12.47158680658808,e8caa260-13ef-11e5-add0-0050569b7e95,Landkreis Rostock,13072,Amt Mecklenburgische Schweiz,130725258,Groß Wokern,130725258040,Klein Wokern,,,,,,,Abzweig,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,240,,16,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Klein+Wokern&fa=&fh=3111
53.762825548706559,11.984961219308763,e1efa6d4-13ef-11e5-aa08-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Boitin,,Dorfstr.,101,8,,,Boitin,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,273,,15,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Boitin&fa=&fh=3044
53.76238221118426,12.619478897565408,e379f162-13ef-11e5-aa85-0050569b7e95,Landkreis Rostock,13072,"Teterow, Stadt",130720106,"Teterow, Stadt",130720106106,Niendorf,,Niendorf,56,3,a,,Niendorf b. Teterow,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"230, 232",,18,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Niendorf+%28b.+Teterow%29&fa=&fh=4035
53.761996517964036,12.216850115319936,d7872d66-13ef-11e5-a73b-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mühl Rosin,130725255073,Mühl Rosin,,Waldsiedlung,303,8,c,,Schule,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,252,,14,http://www.rebus.de/index.php?p=haltestellen2.php&fo=M%C3%BChl+Rosin&fa=&fh=3778
53.761987996039061,12.208025768879059,d79da028-13ef-11e5-a748-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mühl Rosin,130725255073,Mühl Rosin,,Am Wiesengrund,312,32,,,Am Wiesengrund,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,252,,14,http://www.rebus.de/index.php?p=haltestellen2.php&fo=M%C3%BChl+Rosin&fa=&fh=3480
53.761316808646427,12.455728163086194,d52a03f4-13ef-11e5-a67b-0050569b7e95,Landkreis Rostock,13072,Amt Krakow am See,130725256,Lalendorf,130725256063,Raden,,Hauptstr.,501,24,,,Raden,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"240, 241",,15,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Raden&fa=&fh=3110
53.761308964269787,12.413060778814794,d528b4cc-13ef-11e5-a67a-0050569b7e95,Landkreis Rostock,13072,Amt Krakow am See,130725256,Lalendorf,130725256063,Raden,,Hauptstr.,501,3,,,Ausbau,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"240, 241",,15,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Raden&fa=&fh=3738
53.760554985720994,12.392028471623387,d4e68a98-13ef-11e5-a66b-0050569b7e95,Landkreis Rostock,13072,Amt Krakow am See,130725256,Lalendorf,130725256063,Lalendorf,,Am Waldeck,302,12,,,Post,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"242, 243",,15,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Lalendorf&fa=&fh=3109
53.76029293014296,12.434481778820441,d52302ca-13ef-11e5-a675-0050569b7e95,Landkreis Rostock,13072,Amt Krakow am See,130725256,Lalendorf,130725256063,Raden,,Hauptstr.,501,31,,,Gaststätte,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,"240, 241",,15,http://www.rebus.de/index.php?p=haltestellen2.php&fo=Raden&fa=&fh=3737
53.760185337828673,12.206308307954894,d7a4441e-13ef-11e5-a74f-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Mühl Rosin,130725255073,Mühl Rosin,,Am Schaulmeistersoll,314,32,,,Bölkower Chaussee,rebus Regionalbus Rostock GmbH,,,,,,Bus,Regionalbus,252,,14,http://www.rebus.de/index.php?p=haltestellen2.php&fo=M%C3%BChl+Rosin&fa=&fh=3074
