geometrie_wkt,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,linien
"MULTILINESTRING ((12.107802993328436 54.072889798607321,12.106969596637375 54.073166775155933,12.106581221852526 54.073319524046113,12.104818230964211 54.074173763486073))",53d760dc-9999-11e5-9581-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,F1
"MULTILINESTRING ((12.108784127364698 54.144548879241071,12.107906092248399 54.144472749534678,12.105392097728519 54.144310982754995,12.10362477541738 54.144192015160066))",53d7d896-9999-11e5-959a-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,19-45-45A-49
"MULTILINESTRING ((12.105329820218815 54.128280829662337,12.105221966545974 54.123216318054261,12.105234318449194 54.122066276901755,12.10522583192502 54.121704597125614,12.105194922578978 54.121505853437021,12.105118297150423 54.121289357361078,12.105007675944146 54.121099579373784,12.104870275667533 54.120896525311728,12.103680384445811 54.119361216582185))",53d7cb9e-9999-11e5-9597-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,45-45A
"MULTILINESTRING ((12.106679794013768 54.132765813456565,12.106226902476752 54.13263223276298,12.106093660575116 54.132592182865913,12.105975654714079 54.132538730264166,12.105872862028978 54.132462889020843,12.105483938097766 54.132023275874865,12.105438067801675 54.131949630851686,12.105392106862055 54.131840221600051,12.105380499881667 54.131742014756682,12.105347196532346 54.129111480950534,12.105326034665651 54.12828083297547))",53d7cfd6-9999-11e5-9598-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,45-45A
"MULTILINESTRING ((12.106683574201693 54.132763563605529,12.110184547082641 54.133794338623261))",53d7d404-9999-11e5-9599-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,45-45A
"MULTILINESTRING ((12.109621579559469 54.083947057521499,12.110073874513159 54.084194390553499,12.110215202741708 54.084251142992528,12.110396833290507 54.08429482847589,12.110675108115965 54.084324226805371,12.115209364740888 54.084748066040014,12.115419212397503 54.084782281535411,12.115616978783367 54.084823517414996,12.11634183803689 54.085022129648941))",53d7dcd8-9999-11e5-959b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-F1-F2
"MULTILINESTRING ((12.106318835301806 54.085589710864994,12.106551954262693 54.085310846495695,12.106753224899094 54.085148289710141,12.107053583948858 54.084941253236529,12.107248300016755 54.084780229076969,12.107487741336497 54.084561923351195,12.108137341185616 54.083951096828812))",53d7e0ca-9999-11e5-959c-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-F2
"MULTILINESTRING ((12.103638520356842 54.088122437444014,12.106322490223429 54.085589438052303))",53d7e48a-9999-11e5-959d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-F2
"MULTILINESTRING ((12.108146402103641 54.08394542745576,12.10868546604226 54.08344190111282))",53d7e836-9999-11e5-959e-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-F2
"MULTILINESTRING ((12.102203722426063 54.144112998760164,12.103624783945847 54.144195429826532))",53d7f31c-9999-11e5-95a1-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,19-45-45A-49
"MULTILINESTRING ((12.111778631105045 54.140151991446345,12.111781840906085 54.14014982838161,12.112442031624061 54.139796513322622,12.1129824300455 54.139536312135291,12.113567944893395 54.13929915994747,12.114345653351604 54.139051129140526))",bdfdf520-9dbd-11e5-b54c-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,19-19A-45-45A-49
"MULTILINESTRING ((12.052381829067201 54.122294811226375,12.052276417496419 54.121945031577738,12.052254085472416 54.12184430806618,12.052247872869641 54.121719854471984,12.052253752684296 54.121579939678526,12.052275774044936 54.121434087098713,12.052315946449566 54.121275196897791,12.052362187770374 54.121126907535263,12.052400429301448 54.121038019195758,12.05243464832224 54.120960904275989,12.052877777925547 54.12030275424501,12.053014753431334 54.120077414528915,12.053085219716602 54.119933876768698,12.05315163184485 54.119777400890648,12.053211881417068 54.119537896898372,12.0533876223357 54.118067706418195,12.053413665534496 54.117914662942638,12.053483883127779 54.117679916903036,12.053564394668696 54.117504384104521,12.053642934699822 54.117365694810587,12.053759776614179 54.117190145665589,12.05442650585962 54.116241371275599))",53d80708-9999-11e5-95a6-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-38
"MULTILINESTRING ((12.054424619518661 54.116245865140215,12.055312766896506 54.115059844131757))",53d80adc-9999-11e5-95a7-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-38
"MULTILINESTRING ((12.057316141163779 54.124883048933128,12.05662977382149 54.124808700225771,12.056185695931861 54.12475786790111,12.055473045663669 54.124651534674953,12.055091441229584 54.124611362842273,12.05466556927912 54.124585497678098,12.054350626533605 54.124576205061985,12.054013491106494 54.124577525079395,12.053028638869966 54.124626577533455,12.052818701643961 54.124639699602554,12.052760278419113 54.124636130834972,12.052705736594051 54.124608927133245,12.05268749372137 54.124550795641284,12.052699276808758 54.124291184652321,12.052725048216169 54.124018447945623,12.052790918960588 54.123529310482866,12.052798914319473 54.123367558768372,12.052786642095448 54.123241849850949,12.052758343440441 54.123113811596028,12.05273401202906 54.123029713191947,12.052640886802919 54.122821098773919,12.052424354440562 54.122400288495484,12.052402077170722 54.122343416738985,12.052383847740495 54.12229481034737))",53d80e88-9999-11e5-95a8-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-38
"MULTILINESTRING ((12.113154946572207 54.060610138276978,12.113248875964091 54.060591089164753,12.113310644957043 54.060559040426817,12.113327927143699 54.060521192617685,12.113335137748047 54.060439591941197,12.11335230979194 54.060407585203293,12.113409153247469 54.060371137862283,12.113789869922698 54.060235357530907))",53d81248-9999-11e5-95a9-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,26
"MULTILINESTRING ((12.113792385566402 54.060233917372791,12.113636654281885 54.060318444212342,12.113587239940484 54.060353446866685,12.113565175017472 54.060392826869823,12.113560560764775 54.060548560518569,12.113525991847371 54.06057627037719,12.113459286017532 54.060599607356799,12.113377682904366 54.060611366263529,12.111778852669678 54.060605584276736,12.111271500509622 54.060594372855526,12.110702387682581 54.060571624083529,12.109647890386842 54.060507081456244,12.109526667290432 54.060495509983724,12.109425062806046 54.060470890679397,12.109353273294479 54.060430159043754,12.108804965487742 54.059931298251641,12.10874557287101 54.059909515726517,12.108658888667639 54.059905190890127,12.108587126828036 54.059922688766363,12.106591935750215 54.060680115835865,12.106485694295358 54.060713728148478,12.105501156803728 54.06091255992029,12.105258805769443 54.060976843252483,12.104123908087445 54.061356416030939,12.103713301483721 54.06144555360936,12.103567407475623 54.061493755025261,12.103534996535039 54.061429711985468,12.103318752958957 54.061051403094602,12.102707866371713 54.06018270007538,12.102608380230961 54.060044488776363,12.102335501241381 54.059733172872335,12.101914501721291 54.059637379033298,12.101770885837752 54.059585111640864,12.101718750674175 54.059541483255629,12.101716261143945 54.059502216058057,12.101735921946888 54.059454123733659,12.101785341675514 54.059417688163954,12.101854571689005 54.059394355517334,12.101933673984288 54.059389885295388,12.102017851214752 54.059400058076697,12.102084808747787 54.059426150834945,12.102330462150787 54.059733177160602))",53d815ea-9999-11e5-95aa-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,26
"MULTILINESTRING ((12.117275739652269 54.059843269388573,12.116345411981882 54.059895124317343,12.115655118243021 54.05996417449299,12.114175746997436 54.060144681367554,12.113970383660561 54.060184145477784,12.113792385320712 54.060233827511908))",53d819b4-9999-11e5-95ab-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,26
"MULTILINESTRING ((12.071466119037796 54.082775151124856,12.071715590575636 54.082642907339014,12.072120375124417 54.082452609818091,12.07248098085798 54.082300708099098,12.072837571918541 54.082161028787596,12.073162579774451 54.082053447919527,12.073647093022428 54.08190883583282,12.07452596814751 54.081678790067144,12.07474821395509 54.081625544436058,12.075002100808792 54.08157488462745,12.075301981470719 54.081517905240403,12.076046687609628 54.081402684468202,12.076258626289976 54.081366785687216,12.07660057930571 54.081297465451975,12.077189961589569 54.081164993298906,12.07771863195355 54.081056101023307,12.07816541660738 54.080970713329812,12.078698273962152 54.080879067290894,12.079252072854265 54.080798457966793,12.079726252075753 54.080738926318816,12.08023395678158 54.080679370440116,12.080919862178815 54.080609807967129,12.081924870201828 54.080525197612012,12.082606786027272 54.08048033995,12.084048147575443 54.080400353699154,12.085766596198766 54.08028690441521))",53d81d56-9999-11e5-95ac-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.049197113385647 54.106428543167326,12.05218048328034 54.106147640373884,12.055322826596225 54.1058515839092))",53d7ebd8-9999-11e5-959f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39-128
"MULTILINESTRING ((12.078304396782157 54.101425953634148,12.078188949614642 54.101258888270571,12.078154593777921 54.101229256643585,12.078085940174621 54.101200815460814,12.078015442025878 54.101197356643659,12.075724585019849 54.101644618260906,12.075676160953918 54.101644648733732,12.075641832436082 54.101629214326401,12.075627665575338 54.101605500073759,12.074342812910258 54.099082030443583,12.074155891541652 54.098702934534522))",53d7f6b4-9999-11e5-95a2-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39-F1-128
"MULTILINESTRING ((12.07830426627549 54.101423617347152,12.078498593026827 54.101757771596759))",53d7fa6a-9999-11e5-95a3-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39-F1-128
"MULTILINESTRING ((12.109348279210289 54.143067208197238,12.109446753410165 54.142785587753245,12.109693373856963 54.142248270828581,12.109901800009171 54.141876060824636,12.110313680411238 54.141354766317448,12.110736917106925 54.140930508588902,12.111248256952797 54.140509402898289,12.111778631105045 54.140151991446345))",53db63f8-9999-11e5-9665-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,45-45A-49
"MULTILINESTRING ((12.116635683579918 54.138574533611681,12.116851337166743 54.138895621291951,12.117048336997589 54.139112980292595,12.117342942602136 54.139265848809785,12.117606665440952 54.139342034578071,12.117904328516762 54.139376505334837,12.118231398328458 54.139360039194067,12.118557095413182 54.139288861021328,12.118813012037624 54.139179558586626,12.119015906279826 54.13901430757759,12.119137005185348 54.138834946764455,12.119162711170411 54.138613811629391,12.119060141668111 54.138377453874881,12.118839947950113 54.13819599492026,12.118387557161945 54.138005936075025,12.117664713075053 54.137836734895501,12.116544095253351 54.137585091207292,12.115666014879809 54.137342290073605,12.11514197746984 54.13714138779185))",18b7372e-9dbe-11e5-b54d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,45-49
"MULTILINESTRING ((12.087521978888814 54.073232912116403,12.087608451179548 54.073184324274109,12.087744444318323 54.073133813169918,12.087898132967492 54.073108539889795,12.088077097089544 54.073117305182585,12.088228397015904 54.073154216966437,12.088349478261991 54.073203102261871,12.089189689948981 54.073636779746437,12.091614711134261 54.074964538392308,12.092525724580774 54.075469308322553,12.092709902661664 54.075550670286901,12.092876368475036 54.075600953791295,12.093131058971798 54.075654044327308,12.095614974331838 54.076179848045783,12.096464819709604 54.076361497082956,12.096959138137306 54.076485556868818,12.097329889247646 54.0765830260112,12.097947888792554 54.076778241229469,12.098550809135817 54.076989730438299,12.099153770953373 54.077216043624809,12.09956504803705 54.077390573053485,12.099673512640166 54.077423102698937,12.099789503694421 54.07744079896429,12.099915513207909 54.077431798127392))",53d8210c-9999-11e5-95ad-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.085764327486734 54.08028690603301,12.086429482271434 54.080246980995213,12.086534321275694 54.080234504822144,12.086658153771982 54.080203593413415,12.08676076762684 54.080151669761875,12.086834078447676 54.080070202983663,12.086869716189613 54.07999487390957,12.087051789090877 54.079367334215888,12.0874992518815 54.077585249366074,12.087591615936242 54.077158253344315,12.087631524089254 54.076958194061312,12.08765541293695 54.076751856176223,12.087653381400369 54.076565306558017,12.087577079333693 54.075880892095))",53d828aa-9999-11e5-95ae-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.071466364644818 54.082771376828077,12.071413142248318 54.082606873435445,12.071365658859158 54.082407680363787,12.071335664720277 54.082116639214036,12.07134427694735 54.081993704605431,12.071411574326435 54.081693979066699,12.071669293783572 54.080792971660784,12.071815738338614 54.080273219474279,12.071842125757543 54.080226386251141,12.071909869072984 54.080188244795522,12.072015838243436 54.080170928116651,12.072136604887866 54.080182986942532,12.072239777146798 54.080224440690245,12.072290049250546 54.080286773858589,12.072296084664602 54.080350930821844,12.072240111233922 54.0804167425419,12.072163698217668 54.080470525158503,12.071692726202134 54.080713341056153))",53d82cb0-9999-11e5-95af-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.072367088900073 54.083924649942013,12.072293526588128 54.083954168498693,12.07221388657541 54.083968054894939,12.072131440340753 54.083962892449428,12.072057784659572 54.083938674208845,12.071969201118174 54.083883283187738,12.071833529311041 54.08378640458286,12.071806980857977 54.083741310355386,12.071824529136199 54.083684148458147,12.071874514087456 54.083651229572119,12.071986494404555 54.083606142375821))",53d830d4-9999-11e5-95b0-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.077131779535851 54.085744153614101,12.073458246480861 54.084459288703485,12.073125012264494 54.08434339173651,12.072892024276348 54.084246483600928,12.07273280175122 54.084163458836322,12.07260598393721 54.084085536362423,12.07242022257819 54.083962718903166,12.072228384735469 54.083824269039241,12.072018946136691 54.083639011971634,12.071838872966209 54.083450322289416,12.071691177949765 54.083251189191401,12.071546443780605 54.08301386333379,12.071496973326147 54.082905880153845,12.071466493781111 54.082773173966018))",53d83494-9999-11e5-95b1-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.085277445866865 54.086499145110089,12.08414635245923 54.086700870224696,12.08394611456495 54.086735606506046,12.08224342003777 54.086984528711646,12.082057771635181 54.08700379583459,12.081860375418136 54.087010849614799,12.081686525156908 54.087004048537956,12.081450748729038 54.086981563542778,12.0795887394963 54.086730391417802,12.079458340454876 54.086702261380324,12.079334467845619 54.086659030302293,12.079163513122317 54.08658303094527,12.078443846838319 54.086250838210042,12.077966222151375 54.086053634977773,12.07755333684551 54.085892781697957,12.077134678826635 54.085744151754774))",53d83836-9999-11e5-95b2-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.088017134421285 54.086228667752216,12.087363050837899 54.086242983156069,12.086982919016041 54.08627093574939,12.086546964787647 54.086309351161546,12.086152241492881 54.086352947388583,12.085866550548227 54.086393049826214,12.085280345209691 54.086499143054453))",53d83be2-9999-11e5-95b3-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28
"MULTILINESTRING ((12.087504528270854 54.074162805221484,12.087453431219394 54.073475676239006,12.087457163038389 54.07339255220576,12.087479885826411 54.073291442181024,12.087521727230598 54.073233092021326))",53d84416-9999-11e5-95b5-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-30A
"MULTILINESTRING ((12.103191569096962 54.088556938613728,12.103226846873168 54.088497959744593,12.103238411761126 54.088433879159851,12.103202911694625 54.088352495851517,12.102969406600124 54.088084192258542))",53d847c2-9999-11e5-95b6-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1
"MULTILINESTRING ((12.09991588655126 54.077429820878848,12.100065229855254 54.077375959941257,12.10030552479021 54.077200081842633,12.100553938578951 54.076994811975062,12.101448517671617 54.076227817279936,12.102094721278629 54.075739146292854,12.102682981128305 54.075318815534246,12.103404094152211 54.074913104901292,12.103860001867623 54.074693092082157))",53d84b64-9999-11e5-95b7-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1
"MULTILINESTRING ((12.099043693121605 54.092698957015017,12.098955585373613 54.092813422075508,12.098823252451693 54.092939964729169,12.098808579734586 54.092972955622869,12.098820387232351 54.0930075422553,12.098867614593898 54.09303868507812,12.098932557250814 54.093043843600753,12.099014971065618 54.093026432698323,12.099056120236563 54.092993509841442,12.099082594609865 54.092939751398497,12.099046588827369 54.092697247279325,12.099094849605166 54.092580209023382,12.099149362659414 54.09249452694521))",53d84f06-9999-11e5-95b8-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1-F2
"MULTILINESTRING ((12.099149366731815 54.092496234293421,12.099208017132693 54.092400933691941,12.100104690995027 54.091518388613274,12.102124421952663 54.089579924515505))",53d852b2-9999-11e5-95b9-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1-F2
"MULTILINESTRING ((12.102125036618176 54.089573543887155,12.103191203839556 54.088562150846023))",53d8565e-9999-11e5-95ba-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1-F2
