latitude,longitude,bezeichnung,strasse,hnr,hnr_zusatz,plz,ort,telefon,website
54.09213924184693,12.127956406642415,Büro Hanse Sail,Warnowufer,65,,18057,Rostock,+49 381 3812950,http://www.hansesail.com/
54.090480835555702,12.13447624433115,Rostock Touristk,Lange Str.,9,,18055,Rostock,+49 381 25222944,http://www.hansetouristik.de/
54.176646413682349,12.088207878128705,Tourist-Information,Am Strom,59,,18119,Rostock,+49 381 548000,http://www.rostock.travel/sixcms/detail.php?id=28348&_sid1=rostock_01.c.266.de&_sid2=rostock_01.c.608.de&_sid3=&_sid4=&_sid5=
54.088038682786525,12.13521850043522,Tourist-Information,Universitätsplatz,6,,18055,Rostock,+49 381 3812222,http://www.rostock.travel/sixcms/detail.php?id=28348&_sid1=rostock_01.c.266.de&_sid2=rostock_01.c.608.de&_sid3=&_sid4=&_sid5=
54.19231688497392,12.14923007237406,Tourist-Information,Warnemünder Str.,3,,18146,Rostock,+49 381 63729344,http://www.der-warnemuender.de/tourismuszentrale.html
